AGS,Kreis,Kreis_WP,KreisSitz,KreisSitz_WP,Einwohner,Fläche,Karte
16065,Kyffhäuserkreis,/wiki/Kyffh%C3%A4userkreis,Sondershausen,/wiki/Sondershausen,74212,1037.91,//upload.wikimedia.org/wikipedia/commons/thumb/6/62/Thuringia_KYF.svg/77px-Thuringia_KYF.svg.png
06532,Lahn-Dill-Kreis,/wiki/Lahn-Dill-Kreis,Wetzlar,/wiki/Wetzlar,253319,1066.52,//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Hesse_LDK.svg/45px-Hesse_LDK.svg.png
09181,Landsberg am Lech,/wiki/Landkreis_Landsberg_am_Lech,Landsberg am Lech,/wiki/Landsberg_am_Lech,120302,804.38,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Bavaria_LL.svg/60px-Bavaria_LL.svg.png
09274,Landshut,/wiki/Landkreis_Landshut,Landshut,/wiki/Landshut,159895,1347.89,//upload.wikimedia.org/wikipedia/commons/thumb/2/24/Bavaria_LA_%28district%29.svg/60px-Bavaria_LA_%28district%29.svg.png
03457,Leer,/wiki/Landkreis_Leer,Leer (Ostfriesland),/wiki/Leer_(Ostfriesland),170756,1086.01,//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Lower_Saxony_LER.svg/71px-Lower_Saxony_LER.svg.png
14729,Leipzig,/wiki/Landkreis_Leipzig,Borna,/wiki/Borna,258139,1651.3,//upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Saxony_L_%28District%29.svg/75px-Saxony_L_%28District%29.svg.png
09478,Lichtenfels,/wiki/Landkreis_Lichtenfels,Lichtenfels,/wiki/Lichtenfels_(Oberfranken),66776,519.95,//upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Bavaria_LIF.svg/60px-Bavaria_LIF.svg.png
06533,Limburg-Weilburg,/wiki/Landkreis_Limburg-Weilburg,Limburg an der Lahn,/wiki/Limburg_an_der_Lahn,171912,738.48,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Hesse_LM.svg/45px-Hesse_LM.svg.png
09776,Lindau (Bodensee),/wiki/Landkreis_Lindau_(Bodensee),Lindau (Bodensee),/wiki/Lindau_(Bodensee),81981,323.44,//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Bavaria_LI.svg/60px-Bavaria_LI.svg.png
05766,Lippe,/wiki/Kreis_Lippe,Detmold,/wiki/Detmold,347514,1246.21,//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/North_rhine_w_LIP.svg/60px-North_rhine_w_LIP.svg.png
08336,Lörrach,/wiki/Landkreis_L%C3%B6rrach,Lörrach,/wiki/L%C3%B6rrach,228736,806.76,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Baden-W%C3%BCrttemberg_L%C3%96.svg/55px-Baden-W%C3%BCrttemberg_L%C3%96.svg.png
03354,Lüchow-Dannenberg,/wiki/Landkreis_L%C3%BCchow-Dannenberg,Lüchow (Wendland),/wiki/L%C3%BCchow_(Wendland),48412,1220.75,//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Lower_Saxony_DAN.svg/71px-Lower_Saxony_DAN.svg.png
08118,Ludwigsburg,/wiki/Landkreis_Ludwigsburg,Ludwigsburg,/wiki/Ludwigsburg,545423,686.84,//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Baden-W%C3%BCrttemberg_LB.svg/55px-Baden-W%C3%BCrttemberg_LB.svg.png
13076,Ludwigslust-Parchim,/wiki/Landkreis_Ludwigslust-Parchim,Parchim,/wiki/Parchim,211779,4752.44,//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Mecklenburg-Vorpommern_PCH_2011.svg/88px-Mecklenburg-Vorpommern_PCH_2011.svg.png
03355,Lüneburg,/wiki/Landkreis_L%C3%BCneburg,Lüneburg,/wiki/L%C3%BCneburg,184139,1323.68,//upload.wikimedia.org/wikipedia/commons/thumb/2/29/Lower_Saxony_LG.svg/71px-Lower_Saxony_LG.svg.png
06435,Main-Kinzig-Kreis,/wiki/Main-Kinzig-Kreis,Gelnhausen,/wiki/Gelnhausen,420552,1397.55,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Hesse_MKK.svg/45px-Hesse_MKK.svg.png
09677,Main-Spessart,/wiki/Landkreis_Main-Spessart,Karlstadt,/wiki/Karlstadt,126158,1321.42,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Bavaria_MSP.svg/60px-Bavaria_MSP.svg.png
08128,Main-Tauber-Kreis,/wiki/Main-Tauber-Kreis,Tauberbischofsheim,/wiki/Tauberbischofsheim,132399,1304.4,//upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Baden-W%C3%BCrttemberg_TBB.svg/55px-Baden-W%C3%BCrttemberg_TBB.svg.png
06436,Main-Taunus-Kreis,/wiki/Main-Taunus-Kreis,Hofheim am Taunus,/wiki/Hofheim_am_Taunus,238558,222.39,//upload.wikimedia.org/wikipedia/commons/thumb/1/12/Hesse_MTK.svg/45px-Hesse_MTK.svg.png
07339,Mainz-Bingen,/wiki/Landkreis_Mainz-Bingen,Ingelheim am Rhein,/wiki/Ingelheim_am_Rhein,211417,605.77,//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Rhineland-Palatinate_MZ_%28rural%29.svg/56px-Rhineland-Palatinate_MZ_%28rural%29.svg.png
